iso_code,страна,процент переболевших
VAT,Vatican,0.74
SMR,San Marino,0.70
AND,Andorra,0.49
LUX,Luxembourg,0.35
ISL,Iceland,0.33
ESP,Spain,0.21
CHE,Switzerland,0.19
LIE,Liechtenstein,0.18
ITA,Italy,0.17
MCO,Monaco,0.13
AUT,Austria,0.11
BEL,Belgium,0.11
DEU,Germany,0.09
OWID_EUN,European Union,0.09
NOR,Norway,0.09
